artist_1	artist_2	count	song_ids
Future	Ty Dolla $ign	3	['2c5D6B8oXAwc6easamdgVA', '14EgW52HVqnLHd30bgbPxg', '2EPbvVyo2qrrmeiEm57Cfl']
PnB Rock	YFN Lucci	3	['7mz8bgoIWwAjUBXeWUHphh', '4PzovBqgnSHKd8opsP7IVM', '2KtGuSoEszAKKjF7Yovhcg']
Khalid	Lorde	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Khalid	Post Malone	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Khalid	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Lorde	Post Malone	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Lorde	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Post Malone	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Calvin Harris	Pharrell Williams	3	['6BaCraQ9xeLYg4Sb9TBT2X', '60APt5N2NRaKWf5xzJdzyC', '5bcTCxgc7xVfSaMV3RuVke']
Calvin Harris	Travis Scott	3	['4KaIJ1FWXUoAAnOts1YWjD', '4vv1KjUzPwrtDbozizSfQc', '6LOCAhFzZiavHcLJucLuDy']
DJ Khaled	Travis Scott	3	['4vv1KjUzPwrtDbozizSfQc', '7lxZbmtC6SkUc2yXBgDOdO', '6LOCAhFzZiavHcLJucLuDy']
A$AP Mob	Playboi Carti	3	['0WQcnrsEqrY2e5nexGe3HX', '4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
Nicki Minaj	Yo Gotti	3	['6c7D34787LOtPm8tzhsLgH', '1aGOdZZE1uE0m3UYjcl3CP', '4knL4iPxPOZjQzTUlELGSY']
Gucci Mane	Migos	3	['1HTtUBEY3tuw2btgwwI2Ja', '1XRgIKC5TPwo7nWGyKqgG0', '6p8NuHm8uCGnn2Dtbtf7zE']
Metro Boomin	Travis Scott	3	['3wAI7MIQtTgwcRmwchPZBc', '6SKYMNROdeh9V601G6pPn5', '5u6vkDnOyaf8LsteDAj2ub']
Lil Uzi Vert	Quavo	3	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp', '53MHr9cjIlwet0mpmqNvjC']
2 Chainz	Drake	3	['5tkDCf3xKRZjT5RbCb3sZB', '0xl1w2q4VLojeXp4JfazPL', '4kNvYhyl8R6m1vykVkcuBu']
Lil Wayne	Ty Dolla $ign	3	['4dASQiO1Eoo3RJvt74FtXB', '0rlFL6bxIWcCn9gk9GExFA', '270aLuFCbX32hhBr8MQyPM']
Future	The Weeknd	3	['3mRcWCyteY2133a7xVMrYw', '0NWqNXBJTpXbkI5rPWNy3p', '7EiZI6JVHllARrX9PUvAdX']
Metro Boomin	NAV	3	['1xpXnpIpuvzpx9jz15baJF', '3JWh19WsndEFg0UFRFeTiU', '4EbULzyWMuFx94aoIY1MlJ']
2 Chainz	Travis Scott	3	['02hNDxtMMTpq72rdp1lm6v', '4r4PJQBHAE0bIKCjunhTgd', '1nX9KhK3Fff27SnrIor2Yb']
2 Chainz	Jhené Aiko	3	['41jDpQ9b2VnVdsYEy2nC7z', '1p5B1jJk75RAblZCTnzUTU', '6H0AwSQ20mo62jGlPGB8S6']
2 Chainz	Trey Songz	3	['41jDpQ9b2VnVdsYEy2nC7z', '1p5B1jJk75RAblZCTnzUTU', '6H0AwSQ20mo62jGlPGB8S6']
2 Chainz	Ty Dolla $ign	3	['41jDpQ9b2VnVdsYEy2nC7z', '1p5B1jJk75RAblZCTnzUTU', '6H0AwSQ20mo62jGlPGB8S6']
Jhené Aiko	Trey Songz	3	['41jDpQ9b2VnVdsYEy2nC7z', '1p5B1jJk75RAblZCTnzUTU', '6H0AwSQ20mo62jGlPGB8S6']
Jhené Aiko	Ty Dolla $ign	3	['41jDpQ9b2VnVdsYEy2nC7z', '1p5B1jJk75RAblZCTnzUTU', '6H0AwSQ20mo62jGlPGB8S6']
Trey Songz	Ty Dolla $ign	3	['41jDpQ9b2VnVdsYEy2nC7z', '1p5B1jJk75RAblZCTnzUTU', '6H0AwSQ20mo62jGlPGB8S6']
A$AP Rocky	Lana Del Rey	3	['03hqMhmCZiNKMSPmVabPLP', '5QqyRUZeBE04yJxsD1OC0I', '5JwLhFNrXw49pn3HQqu02G']
Chance the Rapper	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Lil Wayne	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Lil Uzi Vert	Playboi Carti	3	['59J5nzL1KniFHnU120dQzt', '4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
2 Chainz	Big Sean	3	['4kNvYhyl8R6m1vykVkcuBu', '0rHJxNaQRMGK6Y4TUx3xRO', '42XnD59SFcomCJu55EPhqJ']
DJ Khaled	Migos	2	['2ClE3QfsNx9p0zjPKxmUYq', '4oLuMvGQ4WJfU2s4OM6nfE']
Camila Cabello	Quavo	2	['3Ytr1SUCUi6J3L9dRFx5iH', '4xBjsLUSjcx2h7PcRikpQp']
Drake	Young Thug	2	['7bJ4mu7MHa3rHiNyKjOoSl', '0xl1w2q4VLojeXp4JfazPL']
Lil Yachty	Quavo	2	['3wdfLVUhmX64lIyWIIEW8s', '4QeBlVCl2KzUEcQZiuskRd']
Ty Dolla $ign	YG	2	['1Mb187X5w3OUQNH6P5M28Y', '25wStx3LyTjYmHTd3RDu0t']
DJ Khaled	Drake	2	['2of5xn0GU0TdFneR1saRLH', '3pC1ILr9KzmQLMe8Kn5QBG']
PnB Rock	Wiz Khalifa	2	['5PfTI3zrQbZEWcQdycMqJM', '2KtGuSoEszAKKjF7Yovhcg']
Daft Punk	The Weeknd	2	['5aAx2yezTd8zXrkmtKl66Z', '5GXAXm5YOmYT0kL5jHvYBt']
J Balvin	Willy William	2	['7fwXWKdDNI5IutOMc5OKYw', '2rb5MvYT7ZIxbKW5hfcHx8']
2 Chainz	Gucci Mane	2	['39pS70eeDvyCAF3t8NAlVV', '5HtziFfFGxXpugCqZaAHoY']
Gucci Mane	Young Dolph	2	['17DjWsC0G9YQtAiepG3c5v', '5HtziFfFGxXpugCqZaAHoY']
A$AP Rocky	Cardi B	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
A$AP Rocky	G-Eazy	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
Cardi B	G-Eazy	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
Beyoncé	DJ Khaled	2	['7Fa5UNizycSms5jP3SQD3F', '3OoZagIW3YK8vjt0ws6NOI']
Beyoncé	JAY-Z	2	['7Fa5UNizycSms5jP3SQD3F', '3OoZagIW3YK8vjt0ws6NOI']
DJ Khaled	JAY-Z	2	['7Fa5UNizycSms5jP3SQD3F', '3OoZagIW3YK8vjt0ws6NOI']
G-Eazy	Halsey	2	['5k38wzpLb15YgncyWdTZE4', '3YU6vJbjYUG0tiJyXf9x5V']
Maren Morris	Thomas Rhett	2	['2d48mamATjby7wgPjdrSOQ', '6zLdXcmvIxnAXpz9sXFnIE']
Future	Lil Uzi Vert	2	['5oyUurs28XRagLa8lgm6V3', '6j0teRL3WdExzqmy334sh5']
Big Sean	Calvin Harris	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Big Sean	Katy Perry	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Big Sean	Pharrell Williams	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Calvin Harris	Katy Perry	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Katy Perry	Pharrell Williams	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Gucci Mane	Rae Sremmurd	2	['6fujklziTHa8uoM5OQSfIo', '3A2OHirUAlQp2x73BJlEDA']
Calvin Harris	DJ Khaled	2	['4vv1KjUzPwrtDbozizSfQc', '6LOCAhFzZiavHcLJucLuDy']
Calvin Harris	Jeremih	2	['4vv1KjUzPwrtDbozizSfQc', '6LOCAhFzZiavHcLJucLuDy']
DJ Khaled	Jeremih	2	['4vv1KjUzPwrtDbozizSfQc', '6LOCAhFzZiavHcLJucLuDy']
Jeremih	Travis Scott	2	['4vv1KjUzPwrtDbozizSfQc', '6LOCAhFzZiavHcLJucLuDy']
G-Eazy	Zoe Nash	2	['6mVjlizvk7mq58DJl7pQ2j', '2WWruw7ul9N7eqoHELyMc2']
A$AP Mob	A$AP Twelvyy	2	['0WQcnrsEqrY2e5nexGe3HX', '59e7E2LMPZ2bhW5G6aCwX8']
Charlie Puth	G-Eazy	2	['3qk4wRMDlaeagZGjSYbsOV', '0GOJobsbOSIF99y6CGr5o6']
Maroon 5	SZA	2	['4mxWSdf71VFO52qFeY0fZt', '3hBBKuWJfxlIlnd9QFoC8k']
Lil Wayne	Nicki Minaj	2	['63NTlJWNS65JjsE3QJYr20', '7KcGEssn7BnJdTgildK5y0']
A Boogie Wit da Hoodie	Chris Brown	2	['5gx2E5aIXMRBellPZW1up5', '4YkwUfWSIxdKNLDXw0caFO']
A Boogie Wit da Hoodie	Yo Gotti	2	['5gx2E5aIXMRBellPZW1up5', '4YkwUfWSIxdKNLDXw0caFO']
Chris Brown	Kodak Black	2	['5gx2E5aIXMRBellPZW1up5', '4YkwUfWSIxdKNLDXw0caFO']
Chris Brown	Yo Gotti	2	['5gx2E5aIXMRBellPZW1up5', '4YkwUfWSIxdKNLDXw0caFO']
Kodak Black	Yo Gotti	2	['5gx2E5aIXMRBellPZW1up5', '4YkwUfWSIxdKNLDXw0caFO']
Drake	WizKid	2	['1xznGGDReH1oQq0xzbwXa3', '2f9LSU0aBW04w6KL26DW8r']
21 Savage	Big Sean	2	['0Gux2yTMWYOlcBUNjGJu5p', '7DuvVy7JfFgXwWlVzyyPys']
Offset	Travis Scott	2	['6urLjX35oXXRYtcH1b3dCh', '5u6vkDnOyaf8LsteDAj2ub']
Brent Faiyaz	GoldLink	2	['5geeTRRcsIg0MS5TvtBtHU', '15EPc80XuFrb2LmOzGjuRg']
Brent Faiyaz	Shy Glizzy	2	['5geeTRRcsIg0MS5TvtBtHU', '15EPc80XuFrb2LmOzGjuRg']
