artist_1	artist_2	count	song_ids
Diplo	Sia	3	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Labrinth	3	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Sia	3	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
Labrinth	Sia	3	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
Drake	Michael Jackson	2	['36ONiya0OANYknz0GgJmwB', '6G8kHiVZ1jW7vHMPVRNZU0']
Ninho	Rim'K	2	['6qk9lEM6UIxNbAuI0PpOLu', '2XESFfYekQ0mRau2GXjT3E']
Nicky Jam	Ozuna	2	['3V8UKqhEK5zBkBb6d6ub8i', '6JjPBQfI2Y8nIjnm65X6Pw']
El Profesor	HUGEL	2	['1MFSD0AkPk8Yq7TDEhrHcb', '2dQzfKRaMKUCQgMpOtpLTh']
Kaaris	Lartiste	2	['01jZO0m1WSPGXriODVKN3U', '47mLzPbWGQgUoX6OuVxZZY']
Charlie Puth	Kehlani	2	['76S09sHj7GGMJAtOLjmVQ2', '1lsBTdE6MGsKeZCD6llNu7']
J Balvin	Willy William	2	['7fwXWKdDNI5IutOMc5OKYw', '2rb5MvYT7ZIxbKW5hfcHx8']
Jul	Marwa Loud	2	['6avKXR7VkJPrmMSEwxFfuR', '16pMGll7Ngwq32CrLEMyxa']
Lorenzo	Vald	2	['6aXg1PPha0HbGxR53e9jh1', '4YKqj8VsrWVjvuwuellcY7']
4Keus	Sidiki Diabaté	2	['6wmdBtN07tomz7qkeE0Pqe', '1oXlzs29ix0uXrQ9JZ62UU']
Dadju	Niska	2	['64qdods9r5p6wovmRZdyg3', '40gyeYU1e0NCe12fQn4ak1']
Ina Wroldsen	Jax Jones	2	['0KsB4TwgATg88aXCMBoO3Y', '6tvQzeCPwOytDlBYCIOY0n']
Travis Barker	XXXTENTACION	2	['4zI04ezdmrN0lT2pHykYrd', '0T6RSXxFhW8dRTWHI604ld']
Damso	Kalash	2	['1vVZLmZq8gN8pPCEBLjPvD', '7LDq2cE0TQV66BXorbV8FD']
Dadju	MHD	2	['2sjJrFhDT0oP3fyCocTVyX', '6jQkGzbdspfj03KN5Xw4XS']
Bigflo & Oli	Guizmo	2	['1Ei9QMQqCOorYnFoyI6ouN', '3SBaOKZbHxGGLiAjOfQri2']
Booba	Maes	2	['4miiqu2dxOhBguQDHtqssH', '6cKj3bzvVrOQtPfGhcKlRt']
David Guetta	Martin Garrix	2	['0OlnLZY4cmQzT6ZGttvWBM', '6RnkFd8Fqqgk1Uni8RgqCQ']
Sadek	Sofiane	2	['6ZnTOZiXyj7DWIkBNmtEST', '196cSZjrDdgaJILT3cpfYl']
Booba	Dosseh	2	['63z6p4gpgnpZprANkpBIHH', '3sIe127CTS2vqjtrSoBYQT']
