source	target	weight	avg_streams
dirty south rap	hip hop	11	4070207.7142857136
electro house	pop rap	11	3079592.8
dance pop	melodic rap	11	8152291.454545454
hip hop	queens hip hop	11	1179073.2857142857
edm	electro house	11	5162851.0
detroit hip hop	pop rap	11	3098054.1428571427
pop rap	uk pop	11	4760880.111111111
rap	west coast rap	10	4371095.111111111
dance pop	queens hip hop	10	2432552.4444444445
hip pop	post-teen pop	10	2268129.7
dfw rap	rap	10	8968068.666666666
pop	pop rock	10	8614448.3
movie tunes	show tunes	10	5649511.8
emo rap	pop rap	10	2146741.4
australian pop	edm	10	3803073.4
dance pop	moombahton	10	3122118.625
alternative r&b	dance pop	10	10322897.9
alternative r&b	post-teen pop	10	12305030.875
dance pop	viral pop	10	3434191.6
post-teen pop	viral pop	10	3386103.2
big room	edm	10	6943882.166666668
big room	tropical house	10	6943882.166666668
post-teen pop	show tunes	10	5743723.0
edm	pop edm	10	8979610.57142857
pop edm	tropical house	10	8753414.142857144
chicago rap	pop	10	3731933.2857142864
east coast hip hop	pop rap	10	2114855.666666666
electro house	electropop	10	3327375.7
dance pop	r&b	10	1284209.111111111
hip pop	southern hip hop	10	1262146.5
queens hip hop	southern hip hop	10	1266090.666666667
pop rap	toronto rap	10	2217267.888888889
alternative r&b	pop rap	10	9690225.625
pop	uk funky	10	7631833.5
east coast hip hop	hip hop	10	1401497.0
metropopolis	pop	10	9117471.5
post-teen pop	queens hip hop	9	2485910.333333333
dance pop	hollywood	9	5457022.333333333
moombahton	post-teen pop	9	3257896.111111112
australian pop	electropop	9	3874072.444444445
dfw rap	pop rap	9	8780184.375
pop	toronto rap	9	2750189.714285714
dance pop	progressive electro house	9	9281413.875
indie poptimism	post-teen pop	9	7419583.777777777
pop edm	post-teen pop	9	6374528.444444444
chicago rap	hip hop	9	5307993.833333333
alternative r&b	electropop	9	12602058.857142854
latin	post-teen pop	9	3076514.8571428573
show tunes	show tunes	9	3476631.0
rap	underground hip hop	9	2683821.0
post-teen pop	progressive house	9	6486222.75
pop rap	uk dance	9	4686654.25
dance pop	gangster rap	9	4334873.666666667
