artist_1	artist_2	count	song_ids
187 Strassenbande	Gzuz	9	['42HI1CnQ4meVfZCTSwZK0n', '5L56aF7d720ZaytO5UMEtb', '210azEodQSJ48zZrgxHsu8', '6mw02h3qbWmuq2bJCRjRAe', '4w5lLpNddC9X05bBxddqFT', '4iPjyH29Cw0PFQ7bR81fHf', '0Vy7fWzknPBpNTwJkGc7Sm', '7hCJgEQQqOlQrWQ9iOZ495', '3aDYo34VzVf2i8aJyJk0ca']
Bonez MC	LX	9	['5L56aF7d720ZaytO5UMEtb', '210azEodQSJ48zZrgxHsu8', '3KbCjPkewCmJt09FYtyVK5', '6zd31HpApjec1ldpS1E4Xu', '639uCLPslNZLSWWMenLli1', '63SGQVGRElERHTuljbqCsD', '4w5lLpNddC9X05bBxddqFT', '7hCJgEQQqOlQrWQ9iOZ495', '3aDYo34VzVf2i8aJyJk0ca']
Farid Bang	Kollegah	8	['7AhcUUsJyYpvHvfrRsiysS', '4Ja7xcFhiJpEEB8LR4yO1y', '5gVkQehV7dXjnau9jjfJ7a', '6F0fXw4G0dqRWJnvWPZM67', '2MRa7smgGyELfGEpmw1ILu', '2a9yoHHUk5dRdq5GU8KvU2', '2nvUC76Xju4HuqIFXeiCyI', '053sjtHtfgseKIyA777w2C']
Kurdo	Majoe	8	['5sXH5is49Lxo6zQCksCKfe', '0KzUyonAz3qE6UE9tDL4tV', '1BUi9x7vl6q20HA2J0aiyU', '29CoYNq5Jn9v0xkmOGGT0s', '6O3MwxCWykOYhMGTKNYeXv', '6r4dRb9m9OIlj3VTrWPMuX', '6rQxI9E91vFj8oO9Fnct27', '6eBA8O9zVo1IO1xywNY2Gi']
Gzuz	LX	8	['5L56aF7d720ZaytO5UMEtb', '210azEodQSJ48zZrgxHsu8', '3KbCjPkewCmJt09FYtyVK5', '6zd31HpApjec1ldpS1E4Xu', '639uCLPslNZLSWWMenLli1', '4w5lLpNddC9X05bBxddqFT', '7hCJgEQQqOlQrWQ9iOZ495', '3aDYo34VzVf2i8aJyJk0ca']
Bonez MC	Sa4	7	['4WGv2uh5zowr2IHKVwLcQ2', '639uCLPslNZLSWWMenLli1', '3dA1Z1MFUVbdY796jNEjr2', '4iPjyH29Cw0PFQ7bR81fHf', '7hCJgEQQqOlQrWQ9iOZ495', '1vza0Eqjzqw0jJfOGRwg1c', '4yI4PNx1en30E5MryFZZLT']
Gzuz	Sa4	7	['639uCLPslNZLSWWMenLli1', '3dA1Z1MFUVbdY796jNEjr2', '5MGscVQk1GOLb7AFOnwR7f', '4iPjyH29Cw0PFQ7bR81fHf', '7hCJgEQQqOlQrWQ9iOZ495', '1vza0Eqjzqw0jJfOGRwg1c', '4yI4PNx1en30E5MryFZZLT']
Gzuz	RAF Camora	6	['6v6xHeuMLbCuddN0ETrGhs', '1uGERQ2DVv7j9WSsWzOHVp', '3H25ywsvlV0ZT2XSpSU7wk', '27CUvggbN4O6ASZEsExeAi', '0Vy7fWzknPBpNTwJkGc7Sm', '1vza0Eqjzqw0jJfOGRwg1c']
187 Strassenbande	Maxwell	6	['3ruUVcomUKxPlX8srBfMua', '63SGQVGRElERHTuljbqCsD', '7bT5tDmeOqa3e7EegiXfQr', '0Vy7fWzknPBpNTwJkGc7Sm', '1v4OhNexUiv3Mq6s7tcKbw', '5fzDpw2ecK1KghidsBVM4q']
Maxwell	RAF Camora	6	['1uGERQ2DVv7j9WSsWzOHVp', '3H25ywsvlV0ZT2XSpSU7wk', '0Vy7fWzknPBpNTwJkGc7Sm', '16nn9U3bhRfDgOxK1rp3WC', '6hjck7ERXicpsW51UkdHCA', '05Mp2UJulSttxQ4E6hQPH3']
