source	target	weight	avg_streams
queens hip hop	trap	24	2483878.15
hip pop	pop rap	24	1714570.3529411762
reggaeton	tropical	24	3076386.375
philly rap	pop rap	24	1291634.9473684214
atl hip hop	dance pop	23	3372713.3636363638
edm	electropop	23	2275573.6
alternative hip hop	rap	23	2521753.0
atl hip hop	canadian hip hop	22	3576628.1052631573
philly rap	trap	22	1171437.5263157894
dance pop	uk dance	22	3956208.6470588236
post-teen pop	uk dance	22	3128766.4736842113
alternative r&b	pop rap	22	3054602.0
trap	trap soul	22	1811613.5882352944
dirty south rap	southern hip hop	21	2043520.85
melodic rap	toronto rap	21	3053235.117647059
canadian pop	pop	21	3927980.111111112
latin	trap latino	21	7597872.6
edm	rap	21	3147762.117647059
tropical house	uk pop	21	4071666.625
miami hip hop	southern hip hop	21	1906743.1578947369
chicago rap	southern hip hop	20	1998351.2222222225
reggaeton	trap latino	20	9400161.75
southern hip hop	toronto rap	20	4773673.210526316
electropop	rap	20	2297213.8823529407
atl hip hop	toronto rap	19	3855815.529411765
hip hop	hip pop	19	1632291.5333333334
moombahton	pop	19	2202452.727272727
tropical house	tropical house	19	2289351.1176470597
melodic rap	underground hip hop	19	1900855.9375
pop rap	vapor trap	19	4929258.8
detroit hip hop	pop rap	19	2668586.214285714
emo rap	melodic rap	18	2800409.8823529407
contemporary country	pop	18	5302644.8125
atl hip hop	underground hip hop	18	1659458.230769231
hip hop	queens hip hop	18	1725650.7142857143
dance pop	melodic rap	18	4943868.5
pop	reggaeton	18	5386552.083333333
conscious hip hop	trap	18	3362719.3076923075
atl hip hop	post-teen pop	18	4269833.222222222
detroit hip hop	rap	18	2768075.461538461
edm	trap	18	2968858.0
electropop	trap	18	1244811.833333333
edm	uk pop	18	4446025.214285715
alternative r&b	hip hop	18	2500552.083333333
alternative r&b	trap	18	1854672.833333333
hip hop	trap soul	18	1862044.333333333
dance pop	latin	18	2320478.333333333
hip pop	pop	17	1652415.0
florida rap	rap	17	3262926.8181818184
atl trap	hip hop	17	2261913.933333333
canadian hip hop	pop	17	3519134.0
pop	progressive house	17	5444292.307692308
gangster rap	pop	17	3349921.833333333
alternative r&b	rap	17	2108426.466666667
post-teen pop	uk pop	17	3136529.733333333
latin	reggaeton flow	17	1607268.333333333
alternative hip hop	gangster rap	17	334072.0
rap	west coast rap	16	4351663.285714285
atl hip hop	dirty south rap	16	2591726.3846153845
pop	queens hip hop	16	1756140.3571428568
atl trap	southern hip hop	16	443985.41666666674
chicago rap	hip hop	16	2339023.3846153845
southern hip hop	urban contemporary	16	1128685.6923076923
canadian pop	southern hip hop	16	6417199.4
conscious hip hop	southern hip hop	16	3079256.666666666
melodic rap	post-teen pop	16	4760266.4375
electro house	post-teen pop	16	2801676.4
detroit hip hop	hip hop	16	2935047.25
dance pop	electro house	16	5134619.571428572
reggaeton	reggaeton flow	16	2216544.5
atl hip hop	chicago rap	15	1898505.0
pop	toronto rap	15	2442997.230769231
pop	viral pop	15	1481714.8
dance pop	urban contemporary	15	928607.3333333336
indie poptimism	pop	15	3630316.8461538474
latin	post-teen pop	15	2967580.545454545
east coast hip hop	trap	15	1360380.0
rap	tropical house	15	3339443.083333333
atl hip hop	r&b	15	2233985.090909091
pop rap	west coast rap	14	4708502.2727272725
dfw rap	trap	14	9640463.5
