artist_1	artist_2	count	song_ids
Gunna	Lil Baby	11	['6wWaVoUOzLQJHd3bWAUpdZ', '1yQvL8SzbF5JCroRKk9F07', '4T7cJdrTRqOBESPYfvfj2x', '0kCBorRrKZkSztd9m0QI3r', '2Am26UXisQ91vBLYdqd7Pa', '4F6yN5FsFW10Ucx7cLCzBh', '1BxkZE73h9BN3qwuA15TA3', '78QR3Wp35dqAhFEc2qAGjE', '7roKDmJDOzkpfGpUQJ5EnL', '3F57PtOdqRpD6euFYqtKXX', '6PoKfDY78ih5OveWirggRX']
Metro Boomin	Travis Scott	10	['6osMzmRHCVETbZMHceLRmh', '3wAI7MIQtTgwcRmwchPZBc', '42k9e2hgl98IdgkXLg4pxs', '2kJAhu7mesSEkML8zviSNX', '6LyAwkJsHlW7RQ8S1cYAtM', '5u6vkDnOyaf8LsteDAj2ub', '1HLL8X0LH20F6Z9SLXLIjr', '27P4XoNXXEV4lTc3sB61RK', '2mYDDUkBcgFNBqkWctyyuc', '22ykS8KWpd2r4zcRZ0XMK5']
Quavo	Travis Scott	8	['2bjwRfXMk4uRgOD9IBYl9h', '4vwfOiyWxXeEdx4ejAJgdx', '6urLjX35oXXRYtcH1b3dCh', '0JYAsQJWIuaYUvZGF1qapT', '7g7raxdQpiLZT7aOlib4S1', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL']
Future	Juice WRLD	8	['2OsDoAzo5SGq10qwmKSQBv', '3fFBZvG777xoKyvcrBq7lc', '2vs5ubqg8QUbfyWZpMfvWe', '2NRGaA1GyCmTYfm2GRPkUe', '1hHe7cirScEJWgAS0JFqTL', '5274I4mUMnYczyeXkGDWZN', '6gzIcEUuswJQGfJNPYMjjv', '4VMiNOpnjRwSCwmHaUfOMM']
Rae Sremmurd	Swae Lee	8	['07VJGBnywGutMZ72kRyEop', '1oUudyBYVGMIC8JXeIsFzq', '2yUbCEiaolfSMluDo9RMmG', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '6sTDhYVVXU3HSDuG7mBLRU', '3qKCDFZp192KBEEtFj7fDa', '6nI74KsH94IN0J2vp5shdT']
21 Savage	Metro Boomin	8	['0AluA5RNsa4Cx6XRhf2hWZ', '2Grb4G6t9VIqo6moKUloom', '1m6lqaLvUTxPjOo98fJH8U', '42k9e2hgl98IdgkXLg4pxs', '5u6vkDnOyaf8LsteDAj2ub', '1HLL8X0LH20F6Z9SLXLIjr', '6fwdbPMwP1zVStm8FybmkO', '43lYaovU2FoeuBMNusVVVW']
Rae Sremmurd	Slim Jxmmi	7	['1oUudyBYVGMIC8JXeIsFzq', '2yUbCEiaolfSMluDo9RMmG', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '6sTDhYVVXU3HSDuG7mBLRU', '3qKCDFZp192KBEEtFj7fDa', '6nI74KsH94IN0J2vp5shdT']
Slim Jxmmi	Swae Lee	7	['1oUudyBYVGMIC8JXeIsFzq', '2yUbCEiaolfSMluDo9RMmG', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '6sTDhYVVXU3HSDuG7mBLRU', '3qKCDFZp192KBEEtFj7fDa', '6nI74KsH94IN0J2vp5shdT']
Huncho Jack	Quavo	6	['4vwfOiyWxXeEdx4ejAJgdx', '6urLjX35oXXRYtcH1b3dCh', '7g7raxdQpiLZT7aOlib4S1', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL']
Huncho Jack	Travis Scott	6	['4vwfOiyWxXeEdx4ejAJgdx', '6urLjX35oXXRYtcH1b3dCh', '7g7raxdQpiLZT7aOlib4S1', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL']
6ix9ine	A Boogie Wit da Hoodie	4	['7q1ikCoQLytPP5TTzDy7JK', '1wJRveJZLSb1rjhnUHQiv6', '6o79O9qBP3OAkWOXajAQIS', '0zl3PdjIl320fK0pxBGWNR']
Kendrick Lamar	SZA	4	['3GCdLUSnKSMJhs4Tj6CV3s', '12SJpYZEdj4kzWZ8FPFg4Y', '2Imq77E6CEJR5TPUxlJvTY', '66kQ7wr4d2LwwSjr7HXcyr']
Swae Lee	Travis Scott	4	['6osMzmRHCVETbZMHceLRmh', '1oUudyBYVGMIC8JXeIsFzq', '3qKCDFZp192KBEEtFj7fDa', '22ykS8KWpd2r4zcRZ0XMK5']
Metro Boomin	Offset	4	['0KPiSFlz5OUCgw7nwvhYWe', '7sO5G9EABYOXQKNPNiE9NR', '304CtPEPYQS6hbM4CubVti', '5u6vkDnOyaf8LsteDAj2ub']
Offset	Travis Scott	4	['0FZ4Dmg8jJJAPJnvBIzD9z', '7l3E7lcozEodtVsSTCkcaA', '6urLjX35oXXRYtcH1b3dCh', '5u6vkDnOyaf8LsteDAj2ub']
Gucci Mane	Migos	4	['3DxZfFYJLwKDJtUwnLEhkL', '1XRgIKC5TPwo7nWGyKqgG0', '35ffVv9x4mtzBh5rF1K9sP', '6p8NuHm8uCGnn2Dtbtf7zE']
Kelsea Ballerini	The Chainsmokers	4	['4NBTZtAt1F13VvlSKe6KTl', '4edS9dC0JPBlSS4p4gMOT0', '15kQGEy89K8deJcZVFEn0N', '6LKYeyLt4G4SlZ6OJwFhVS']
Murda Beatz	Smokepurpp	4	['2xCzUIQwX5Y3wEFJnHoc3J', '54VL6lP6JX06QIbdEkpvTN', '3B3fVhuPlAlaIdpD1XOjUP', '0MHPgpKYfTVml3qEXspnLQ']
Ariana Grande	Nicki Minaj	4	['0sdbFOyfgAhAhWq8DpzkaW', '1ZEm9cJC05rawV2tptNfTS', '5iZ4hcpCgFVijq5OOjBTKZ', '3L4GsGLgxpHieVQH86H8bv']
BTS	Steve Aoki	4	['7Ed6BkggCS2KaKY5YlINaF', '2J0X46UkpfLlWbuCXFgDLr', '2r1T6xGTVaNAqBoPH4lZEE', '48XfojJC87VKLlUotYV0Gm']
Kodak Black	Travis Scott	4	['1HLL8X0LH20F6Z9SLXLIjr', '42k9e2hgl98IdgkXLg4pxs', '0FZ4Dmg8jJJAPJnvBIzD9z', '7l3E7lcozEodtVsSTCkcaA']
21 Savage	Post Malone	4	['2U7Hu2RaNQNRi7izoJyZaX', '0e7ipj03S05BNilyu5bRzt', '1OmcAT5Y8eg5bUPv9qJT4R', '7wGoVu4Dady5GV0Sv4UIsx']
Drew Love	The Chainsmokers	3	['6mWDwN58PgiPiDXkfSfB4J', '6H0Ai73WGIOFoGm5zmbdx1', '3pWcj8hxj3fsb9TDAcMpEl']
Gunna	Young Thug	3	['4T7cJdrTRqOBESPYfvfj2x', '0kCBorRrKZkSztd9m0QI3r', '3tkFCUaISwablf9MJydsuB']
Post Malone	Swae Lee	3	['1A6OTy97kk0mMdm78rHsm8', '5VuxWXbt7XENQCtE9TzpTv', '3KkXRkHbMCARz0aVfEt68P']
Gunna	Metro Boomin	3	['5gub2bpJRgJP4m4MliqtdV', '1fewSx2d5KIZ04wsooEBOz', '3tkFCUaISwablf9MJydsuB']
J Balvin	Willy William	3	['2rb5MvYT7ZIxbKW5hfcHx8', '7fwXWKdDNI5IutOMc5OKYw', '7COfe3P7KgfwDwIRB8LIDw']
Drake	Quavo	3	['2bjwRfXMk4uRgOD9IBYl9h', '5S1IUPueD0xE0vj4zU3nSf', '1rlIrbWboTRGeKfHhgbJRZ']
Metro Boomin	Swae Lee	3	['6osMzmRHCVETbZMHceLRmh', '0McI9sOmkpfd4E72njtU0G', '22ykS8KWpd2r4zcRZ0XMK5']
Future	Young Thug	3	['25oOaleife6E2MIKmFkPvg', '6cPnE82DKBLd7sg02ZNg8K', '3fFBZvG777xoKyvcrBq7lc']
Lil Yachty	Offset	3	['3ALgsy4RtDm58xl3VNoSgZ', '3LR0t8XqZ1FUj6nj01sXN0', '3B3fVhuPlAlaIdpD1XOjUP']
Drake	Lil Baby	3	['6vN77lE9LK6HP2DewaN6HZ', '1wsf1YFQSYND45y0GzJmf7', '6wWaVoUOzLQJHd3bWAUpdZ']
21 Savage	Travis Scott	3	['1HLL8X0LH20F6Z9SLXLIjr', '42k9e2hgl98IdgkXLg4pxs', '5u6vkDnOyaf8LsteDAj2ub']
6ix9ine	Nicki Minaj	3	['1oJ8EDr2pv94IvSd6ZmDgo', '4QIyEq7TcTdAcxjI2AFlAK', '2E124GmJRnBJuXbTb4cPUB']
6ix9ine	Anuel AA	3	['4KkUjFkcQvGvWekl8RATDn', '0LQ1J0BCzA2qnAgp9MkkNE', '7ATATJztoWLcqDAcVVof0C']
Lil Wayne	Nicki Minaj	3	['5IvdLxVB8gwwcgnEkXSSW2', '7kph8uPhOXHMfKzPJvIeah', '2D1MK9oaxy7axXggy3iVbp']
Cardi B	Migos	3	['1YZfcVLbbJwfizR5cDOp3q', '2qcG0nZ6S3zZV0UrkY5nFo', '4wFjTWCunQFKtukqrNijEt']
Diplo	LSD	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Labrinth	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Sia	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Labrinth	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Sia	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
Labrinth	Sia	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
Post Malone	Ty Dolla $ign	3	['7wrDRQgHlvDnimrRHfQZxt', '65NwOZqoXny4JxqAPlfxRF', '3swc6WTsr7rl9DqQKQA55C']
Offset	Tyga	3	['5IaHrVsrferBYDm0bDyABy', '6uSSupG4TMu3vW8QgynAB6', '0jAfdqv18goRTUxm3ilRjb']
Gucci Mane	Quavo	3	['2R7Gn3cjnPaVO0Oj8nsTDP', '0TFVOjSvPTjFHkiZZekK5k', '5Ta1sXtO9tXOaUacYm7tH8']
Emily Warren	The Chainsmokers	3	['5yNEdBlZMxpcVtGKz5NFk5', '3OtQmFLS5b3pTgIf44GQFJ', '5hrXLJJrnKraxRQntH0Vv9']
Drake	Michael Jackson	2	['36ONiya0OANYknz0GgJmwB', '6G8kHiVZ1jW7vHMPVRNZU0']
Lil Wayne	XXXTENTACION	2	['3vWzyGTu6Ovo1GdrcJqH6e', '5BQrp63SHCVf4bzCzJePne']
6ix9ine	Fetty Wap	2	['7q1ikCoQLytPP5TTzDy7JK', '0zl3PdjIl320fK0pxBGWNR']
A Boogie Wit da Hoodie	Fetty Wap	2	['7q1ikCoQLytPP5TTzDy7JK', '0zl3PdjIl320fK0pxBGWNR']
Lil Baby	Young Thug	2	['4T7cJdrTRqOBESPYfvfj2x', '0kCBorRrKZkSztd9m0QI3r']
Young Stoner Life Records	Young Thug	2	['0kCBorRrKZkSztd9m0QI3r', '3HxYOwZZHZn5mC1drqPQqR']
Nicky Jam	Ozuna	2	['3V8UKqhEK5zBkBb6d6ub8i', '6JjPBQfI2Y8nIjnm65X6Pw']
6ix9ine	Kanye West	2	['0EwS8XJQspgrj1zSUXhFkl', '1oJ8EDr2pv94IvSd6ZmDgo']
88rising	AUGUST 08	2	['6TodWdTSDfzwgYynTZSvJn', '0wFmawqundY8rOn9sZUqA6']
88rising	Higher Brothers	2	['6TodWdTSDfzwgYynTZSvJn', '0wFmawqundY8rOn9sZUqA6']
88rising	Joji	2	['6TodWdTSDfzwgYynTZSvJn', '0wFmawqundY8rOn9sZUqA6']
88rising	Rich Brian	2	['6TodWdTSDfzwgYynTZSvJn', '0wFmawqundY8rOn9sZUqA6']
AUGUST 08	Higher Brothers	2	['6TodWdTSDfzwgYynTZSvJn', '0wFmawqundY8rOn9sZUqA6']
AUGUST 08	Joji	2	['6TodWdTSDfzwgYynTZSvJn', '0wFmawqundY8rOn9sZUqA6']
AUGUST 08	Rich Brian	2	['6TodWdTSDfzwgYynTZSvJn', '0wFmawqundY8rOn9sZUqA6']
