artist_1	artist_2	count	song_ids
Pineapple StormTv	Salve Malak	5	['5e0CF6LhfPARWyiu4eFohr', '1YUWhlQjFv7MQpcbb77zTL', '6HaTYIUKd8SzdvGOfutBRD', '2FGhB10Gon36GgFcOTMQEW', '13Rf6RaZT13TW4xLQR3MQr']
Post Malone	Swae Lee	4	['7dbka99KTWke5o9hRp0JoB', '0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy']
MC Kevin o Chris	Sodré	3	['0WhDotK0QXigmsrlw0DxKK', '5dKesZwp6deuhEeW8F1UEi', '5bHx1IT5vfbM067r9p0S0P']
Henrique & Juliano	Hugo & Guilherme	3	['0wshnPflQAjMVaCDIraSWk', '3HdvjjrWBBwsEEcWjs3p1m', '3ufbWtzQSxYyIhllnGgKJt']
Analaga	João Gustavo e Murilo	3	['5pRGXCDY0eT6R1QicAn7Uk', '72xB2J9ZeBl0Rzxq2XmzdY', '5sKnnEybrfzmShFEuvCoBN']
Anitta	Ludmilla	3	['2H8ETIUEoN9YMf56X66bxd', '2caDAj0O4uD8OlJ8bap9nz', '3X4vxzjSiCtmZY2QRumOKW']
Alok	Zeeba	3	['39cmB3ZoTOLwOTq7tMNqKa', '1yzBGun3xDY7WpHOIP9nNp', '4nraNqonMyfc0U3o8VeXVu']
Henrique & Diego	Turma do Pagode	3	['7pSXU2BrcwQt5mbRPKEO4k', '4Rxb7NsUhNRr7aD5necJ3o', '1xg3EbmhAr1cfNOA55pvKH']
Goodboys	MEDUZA	3	['6iW38RGqdDGOofmz2HeXLW', '1DFD5Fotzgn6yYXkYsKiGs', '7CHi4DtfK4heMlQaudCuHK']
Brendon Urie	Taylor Swift	3	['4MsUsFfWseB9M2plGJyuIw', '2Rk4JlNc2TPmZe2af99d45', '4Sib57MmYGJzSvkW84jTwh']
Felipe Original	JS o Mão de Ouro	3	['4lKuzrdZrJuCAedbIslF3A', '5dKesZwp6deuhEeW8F1UEi', '5bHx1IT5vfbM067r9p0S0P']
Luccas Carlos	Vitão	3	['73XFZ3Tp4oRUjyvnn2Cmpx', '4iANxSIDT3kGekiquMSAgT', '4pq5g8DHg6lX7gDqu4OGlg']
César Mc	Pineapple StormTv	3	['5e0CF6LhfPARWyiu4eFohr', '2RoWhAVtQrPU53BERYlmYZ', '5yzYGjKIHJA4DNgDwBB8a7']
Henrique & Juliano	Marília Mendonça	3	['5zweis4XXFug8uxTRnqH1W', '4y17a6dAJ8P1jeZpd2LCrC', '0FwpTN3wN2ljtdiqUSQOIU']
Anitta	Becky G	2	['2eSnW4d3A4SyEVhVPmBffa', '6sAwJPgaSQ9Q4XGnbx1gZb']
Claudia Leitte	Mano Walter	2	['7oe0Ix6qnvqZhK0zDzOPie', '1FIaoiLn0E5ilfE5T0P9xx']
Jorge & Mateus	Maiara & Maraisa	2	['0GSHXM7PZ75f6ZwpekBq83', '5bp0iH4hXKrvwxi64oDGon']
Maiara & Maraisa	Marília Mendonça	2	['6YjyT6MEMsMc41NNWk2dYg', '6yxYagNp6Gapd7jXmWzgVc']
Aloe Blacc	Avicii	2	['6nDKrPlXdpomGBgAlO7UdP', '2x0RZdkZcD8QRI53XT4GI5']
Anitta	Mc Zaac	2	['1OUPXna2MCgAt3VNmXJBtg', '6u0EAxf1OJTLS7CvInuNd7']
Anitta	Tropkillaz	2	['1OUPXna2MCgAt3VNmXJBtg', '6u0EAxf1OJTLS7CvInuNd7']
Mc Zaac	Tropkillaz	2	['1OUPXna2MCgAt3VNmXJBtg', '6u0EAxf1OJTLS7CvInuNd7']
Ducon	Pineapple StormTv	2	['2FGhB10Gon36GgFcOTMQEW', '6HaTYIUKd8SzdvGOfutBRD']
Ducon	Salve Malak	2	['2FGhB10Gon36GgFcOTMQEW', '6HaTYIUKd8SzdvGOfutBRD']
