artist_1	artist_2	count	song_ids
Bad Bunny	Mambo Kingz	3	['3VClLWqNn80Llv0PJOsKgr', '7rwX0O3RlxqqIjQM8evm5E', '5hcisvFMidkMJlElTO9Qmw']
Drake	Lil Baby	3	['6vN77lE9LK6HP2DewaN6HZ', '1wsf1YFQSYND45y0GzJmf7', '6wWaVoUOzLQJHd3bWAUpdZ']
Swae Lee	Travis Scott	3	['6osMzmRHCVETbZMHceLRmh', '3qKCDFZp192KBEEtFj7fDa', '1oUudyBYVGMIC8JXeIsFzq']
Hugh Jackman	The Greatest Showman Ensemble	3	['5xNUR50KxswPRAvx7S163g', '43ay9lQZ5rfNcOOHhRF2cM', '3IkWmgGsXbsafrunwPojXO']
J Balvin	Nicky Jam	3	['39N9RPD9MRb5WmoLzNzPeA', '6JjPBQfI2Y8nIjnm65X6Pw', '38QmUDpkoYlNbMKvpvAsrE']
Gucci Mane	Migos	3	['1XRgIKC5TPwo7nWGyKqgG0', '35ffVv9x4mtzBh5rF1K9sP', '6p8NuHm8uCGnn2Dtbtf7zE']
Daddy Yankee	Luis Fonsi	3	['6rPO02ozF3bM7NnOV4h6s2', '5CtI0qwDJkDQGwXD1H1cLb', '4aWmUDTfIPGksMNLV2rQP2']
Bradley Cooper	Lady Gaga	3	['2VxeLyX666F8uXCJ0dZF8B', '3DKpA54hrFIdPN6AtL9HXa', '5lK18Pt33xNudq4qYDxIm8']
Keala Settle	The Greatest Showman Ensemble	3	['5xNUR50KxswPRAvx7S163g', '43ay9lQZ5rfNcOOHhRF2cM', '2xGjteMU3E1tkEPVFBO08U']
6ix9ine	Nicki Minaj	3	['1oJ8EDr2pv94IvSd6ZmDgo', '4QIyEq7TcTdAcxjI2AFlAK', '2E124GmJRnBJuXbTb4cPUB']
6ix9ine	Anuel AA	3	['4KkUjFkcQvGvWekl8RATDn', '0LQ1J0BCzA2qnAgp9MkkNE', '7ATATJztoWLcqDAcVVof0C']
Brytiago	Darell	3	['59PYgzOiOjGDzjDT5N5oOX', '6rbhaJsE4uLzpPf8WYSHDK', '56CvVCJYRQNWwM4vF4neCD']
